Port_Label,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value
"Equatorial Guinea, Malabo",61.96,61.45,61.41,60.79
"Eritrea, Massawa",13.74,13.84,11.43,11.43
"Estonia, Paldiski",26.8,25.53,25.53,25.53
"Estonia, Tallinn",49.81,55.35,57.7,57.84
"Faroe Islands, Runavik",14.51,14.51,14.51,14.51
"Faroe Islands, Torshavn",37.87,37.87,37.87,37.87
"Fiji, Lautoka",83.84,87.9,88.98,89.54
"Fiji, Suva",91.72,89.57,91.29,91.25
"Finland, Hanko",21.28,20.01,20.65,20.65
"Finland, Helsinki",79.1,75.44,76.35,76.45
"Finland, Kokkola (Karleby)",10.37,10.37,13.8,13.8
"Finland, Kotka",91.99,99.71,107.09,102.17
"Finland, Oulu",10.37,19.06,22.5,23.67
"Finland, Pietarsaari (Jakobstad)",12.81,12.81,12.81,12.81
"Finland, Rauma",77.3,72.92,72.92,87.28
"Finland, Tornio",10.7,20.45,20.45,21.63
"Finland, Turku",12.11,12.11,12.11,12.11
"Finland, Valkom (Valko)",12.82,12.82,12.82,12.82
"France, Bassens",11.16,11.16,11.16,11.16
"France, Brest",20.27,20.89,19.22,19.41
"France, Dunkirk",172.13,196.93,183.8,188.59
"France, Fecamp",8.49,8.49,8.49,8.49
"France, Fos",296.25,295.29,316.63,304.32
"France, La Pallice",10.89,10.9,10.9,10.9
"France, Le Havre",476.34,469.64,453.24,459.61
"France, Marseilles",87.38,84.3,91.95,91.81
"France, Montoir",81.16,77.28,76.66,72.98
"France, Port Vendres",9.86,12.37,12.37,12.37
"France, Radicatel",12.54,12.56,12.56,12.56
"France, Rouen",17.38,17.39,17.39,17.39
"French Guiana, Degrad des Cannes",28.85,31.46,31.46,31.46
"French Polynesia, Bora Bora",5.9,5.98,5.98,5.98
"French Polynesia, Papeete",84.26,85.23,85.22,83.83
"Gabon, Libreville",57.63,52.56,52.42,48.65
"Gabon, Port Gentil",43.97,44.32,44.32,44.26
"Gambia, Banjul",25.84,26.58,33.06,26.3
"Georgia, Batumi",32.39,37.91,29.67,29.67
"Georgia, Poti",43.76,43.75,47.24,47.27
"Germany, Bremen",11.42,11.42,11.2,11.2
"Germany, Bremerhaven",430.09,449.27,426.75,450.74
"Germany, Cuxhaven",14.51,14.51,14.51,14.51
"Germany, Emden",9.64,9.64,9.64,9.64
"Germany, Hamburg",643.03,644,655.95,663.94
"Germany, Lubeck",38.55,37.84,30.42,30.42
"Germany, Rostock",7.42,7.42,7.42,7.42
"Germany, Travemunde",15.31,14.04,14.04,14.04
"Germany, Wilhelmshaven",184.29,197.94,201.61,203.66
"Germany, Wismar",7.59,7.59,7.59,7.59
"Ghana, Takoradi",32.07,32.31,33.08,33.13
"Ghana, Tema",217.65,255.58,245.18,257.42
"Gibraltar, Gibraltar",,,,14.95
"Greece, Heraklion",10.68,10.61,10.89,10.89
"Greece, Piraeus",476.56,423.87,437.02,450.2
"Greece, Thessaloniki",126.92,124.17,105.04,111.82
"Greece, Volos",10.68,10.61,10.89,10.89
"Greenland, Nuuk",24.84,24.86,24.86,24.86
"Greenland, Sisimiut",7.88,8.07,8.07,8.07
"Grenada, St George's",46.35,42.54,42.54,42.54
"Guadeloupe, Gustavia",7.9,7.9,7.9,7.9
"Guadeloupe, Marigot",7.9,7.9,7.9,7.9
"Guadeloupe, Pointe-a-Pitre",78.44,78.93,78.88,87.9
"Guam, Apra",42.45,42.51,42.51,42.51
"Guam, Piti",15.35,15.36,15.36,15.36
"Guatemala, Puerto Barrios",87.06,74.97,72.52,71.84
"Guatemala, Puerto Quetzal",158.5,149.82,149.85,156.05
"Guatemala, Santo Tomas de Castilla",104.16,94.63,94.62,94.63
"Guernsey, St Peter Port",11.12,11.12,,
"Guinea, Conakry",63.15,61.14,52.48,46.54
"Guinea-Bissau, Bissau",35.79,35.85,34.05,34.73
"Guyana, Georgetown (GY)",79,86.22,89.23,89.28
"Haiti, Cap Haitien",32.02,34.25,34.25,21.4
